pasta,total de arquivos
/mnt/chromeos/removable/Jogos HDD/aba,259
/mnt/chromeos/removable/Dados/aba,8584
/mnt/chromeos/removable/Dados/aba1,19784
/mnt/chromeos/removable/Dados/aba2,19776
/mnt/chromeos/removable/Dados/aba3,19500
/mnt/chromeos/removable/Dados/aba4,18822
/mnt/chromeos/removable/Dados/aba5,19151
/mnt/chromeos/removable/Dados/aba6,17897
/mnt/chromeos/removable/Dados/aba7,20343
/mnt/chromeos/removable/Dados/aba8,19669
/mnt/chromeos/removable/Dados/aba9,18636
/mnt/chromeos/removable/Dados/aba10,21088
/mnt/chromeos/removable/Dados/aba11,26595
/mnt/chromeos/removable/Dados/aba12,19312
/mnt/chromeos/removable/Dados/aba13,31386
/mnt/chromeos/removable/Dados/aba14,22396
/mnt/chromeos/removable/Dados/aba15,9901
